Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,VL24 OCIAD1 KO MITOS,VL24 WT MITOS,VL23 OCIAD1 KO MITOS,VL23 WT MITOS,VL22 OCIAD1 KO MITOS,VL22 WT MITOS,VL24 OCIAD1 KO TOTALS,VL24 WT TOTALS,VL23 OCIAD1 KO TOTALS,VL23 WT TOTALS,VL22 OCIAD1 KO TOTALS,VL22 WT TOTALS,230712_blank_n1.raw (F25)+230712_blank_p2.raw (F26)
2.228,400.34201,+,6293803.866,AC 16:0,AC,5,786061.3448,1080391.398,2441433.339,2605578.577,834552.8754,513749.6667,3319531.428,6293803.866,2147089.799,4565937.379,2272423.68,3959035.955,239647.0531
4.193,428.37341,+,2681078.3,AC 18:0,AC,4,445738.3931,163829.9039,360427.4059,326639.6008,251266.6858,346592.8467,1506439.492,2129019.917,1047661.499,2570261.407,1273830.801,2681078.3,217743.0997
7.649,571.47217,+,3130372.073,Alkenyl-DG P-14:0_20:5,Alkenyl-DG,5,279326.8212,383979.7952,457786.5076,476285.8834,429456.0612,288144.0217,2950823.859,1187217.364,2185242.366,1569271.657,3130372.073,1952190.492,52417.16404
8.512,575.50311,+,478301334.6,Alkenyl-DG P-16:0_18:3,Alkenyl-DG,14,37428436.65,106433276.7,45247273.32,117327494.2,39264147.98,86501858.15,320650881.6,306589595.6,163506643.7,325426102.3,180295533.9,478301334.6,261777.4945
8.398,599.50317,+,410141985.8,Alkenyl-DG P-16:0_20:5,Alkenyl-DG,11,53682682.52,66447736.5,70917096.25,81698534.28,84170616.55,58184191.13,372692569.8,162111858.3,331732097.5,188636151.8,410141985.8,281615009.9,72558.83547
9.833,599.50317,+,115673767.5,Alkenyl-DG P-16:0_20:5,Alkenyl-DG,12,35476083.65,43460549.72,39550903.79,52384788.58,41787912.65,61980720.05,105566879,79054745.07,100678218.7,98188919.52,115673767.5,104208402.4,64899.82527
10.336,631.56573,+,404580865.1,Alkenyl-DG P-18:0_20:3,Alkenyl-DG,13,116905403.3,91932409.23,96344450.43,98612320.52,68556744.03,81752906.86,397001060.8,203646949.8,349278890.7,284410840.5,404580865.1,400580603.5,827947.5193
10.551,631.56555,+,269387891.2,Alkenyl-DG P-18:0_20:3,Alkenyl-DG,5,56274182.53,19417850.16,43140382.97,19026008.31,49974739.08,18099445.4,269387891.2,38509104.67,195669090.6,48137040.1,222923777.9,80645727.1,420619.3598
12.351,631.5658,+,78365858.66,Alkenyl-DG P-18:0_20:3,Alkenyl-DG,7,21609904.38,3436280.303,26139418.89,10607609.33,35120663.14,10116802.52,74775168.22,10817394.55,60619462.52,13038655.92,78365858.66,23920970.58,77271.31061
9.967,629.55005,+,712872573,Alkenyl-DG P-18:0_20:4,Alkenyl-DG,12,126599488.1,145006281.7,148994005.6,146240077.9,144163450.6,147411806.7,696054611.3,346362412.7,566795052.9,403651376.9,712872573,619726602.4,64719.88401
11.343,629.54987,+,170727131.4,Alkenyl-DG P-18:0_20:4,Alkenyl-DG,12,41839500.26,49209743.71,52124372.09,60197151.91,74871092.94,56643284.56,127596190.5,88187906.29,142031532.9,95356769.66,170727131.4,136520538.9,151741.5433
11.699,629.54987,+,145962695.4,Alkenyl-DG P-18:0_20:4,Alkenyl-DG,12,42614803.39,44647602.64,51513423.05,60500526.47,74842931.1,65114042.09,131247808.9,71393404.98,129402994.2,88124291.03,145962695.4,134501949.3,73744.82319
10.869,627.53461,+,664586786.3,Alkenyl-DG P-18:0_20:5,Alkenyl-DG,12,193908909.1,228757784.1,211271131.4,328405017.7,304505242.1,287698370.1,524719735.3,359774924.6,513195257.6,459515790.5,541334797.9,664586786.3,163127.6725
8.4,625.51862,+,483548971,Alkenyl-DG P-18:1_20:5,Alkenyl-DG,12,65248210.33,116560784.8,93263966.56,125350320.1,88934764.08,104297690.2,474331368.6,267116647.4,384217461.8,361966447.4,471351889.1,483548971,105769.5032
9.822,625.51837,+,236223114,Alkenyl-DG P-18:1_20:5,Alkenyl-DG,12,72917045.29,68694578.44,80546340.15,86625548.93,111369805.8,86878965.75,200491032.1,110427958.3,206974259.3,154310355,236223114,187292719.2,81503.78487
10.126,625.5188,+,79700115.31,Alkenyl-DG P-18:1_20:5,Alkenyl-DG,12,23676851.25,27384652.46,23206788.76,43164814.99,30071544.75,39940942.82,63541200.53,56826880.54,61898876.19,66136920.61,63328512.72,79700115.31,98815.30476
8.224,573.48724,+,15201023.9,Alkenyl-DG P-34:4,Alkenyl-DG,5,980180.7208,1818740.143,1003651.482,2486588.523,1120956.496,1913007.916,12365743.64,4920677.942,7304864.154,6350139.7,11685413.29,15201023.9,58116.91623
9.048,601.51868,+,237192512.5,Alkenyl-DG P-36:4,Alkenyl-DG,12,35510734.67,34816124.58,38379932.29,46755974.83,38458639.98,43967103.01,218991785.9,99431162.48,169815844.1,122230237.9,211889070.4,237192512.5,40520.1097
10.657,601.51892,+,21886549.4,Alkenyl-DG P-36:4,Alkenyl-DG,4,5257722.788,5764745.377,7566231.257,6503018.987,6103780.216,8660525.866,8876488.734,8125692.196,9315247.331,12036233.16,11843239.88,21886549.4,75103.25838
9.648,629.55005,+,389713878.8,Alkenyl-DG P-38:4,Alkenyl-DG,8,67434947.35,107025905,75439004.67,75042563.19,69771897.77,69740322.35,389713878.8,231605113.6,307327683.4,219961162.3,317044626.1,382085165.8,108935.983
10.286,627.53461,+,61594926.02,Alkenyl-DG P-38:5,Alkenyl-DG,7,14879755.94,17113145.1,14799149.18,22645808.69,25716987.7,22197988.38,39680255.71,34578325.41,38884058.87,38486564.57,46981670.24,61594926.02,739486.799
14.626,696.65277,-,7144501.627,Cer[AP] t43:0,Cer[AP],11,3580535.309,3926858.644,4050650.115,5429244.466,4359040.966,5273746.755,6081816.039,6767243.97,6875870.417,7144501.627,7018581.625,6214581.791,1038028.963
13.539,662.6106,-,7603991.778,Cer[AS] d18:2_24:0,Cer[AS],13,1396971.102,3692340.348,1574616.144,4319832.641,2274504.84,2146323.281,7603991.778,2110340.348,4877509.574,2319930.536,4956651.619,3575772.545,131225.2025
14.413,726.66388,-,6418606.897,Cer[AS] d19:0_23:0,Cer[AS],13,1740961.708,1608875.91,2420779.674,2413003.891,2288849.101,1911144.241,6418606.897,3478056.281,4002165.695,3668706.131,5237747.352,3358046.51,1263185.472
13.561,636.59448,-,9602521.959,Cer[AS] d40:1,Cer[AS],5,3326811.98,4746652.034,3399865.398,5352275.568,4461995.356,4803089.629,9602521.959,6821228.119,8542332.793,6695780.287,7993270.316,8030909.885,1610217.335
14.57,664.62665,-,21503079.5,Cer[AS] d42:1,Cer[AS],13,7560528.076,12050063.4,7488749.87,12444538.25,8832238.154,9330788.641,21503079.5,16356521.83,16690165.34,16718463.81,16884057.62,20792952.33,5065513.678
11.109,538.52087,-,15275470.9,Cer[NS] d18:0_16:0,Cer[NS],8,3478768.344,12337986.6,3706867.334,10492388.05,4985930.698,8974945.669,10363253.76,9389815.748,7186980.071,9903860.057,6617060.228,15275470.9,181842.2137
14.343,622.61499,-,5910536.146,Cer[NS] d18:0_22:0,Cer[NS],25,1808566.551,3230944.984,2057324.806,3228533.309,2070003.568,3268365.821,4574142.829,3381747.084,3650566.207,3729924.895,3415221.999,5910536.146,1168202.359
15.314,652.66046,+,6033235.666,Cer[NS] d18:0_24:0,Cer[NS],25,1083513.485,1482518.345,1593847.486,1830185.951,1611824.647,1820582.042,4472321.677,2930075.793,4190625.862,3317784.124,4852898.572,6033235.666,1269826.962
13.211,604.6026,+,55199479.17,Cer[NS] d18:1_22:0,Cer[NS],34,6116549.668,13888356.57,9482341.951,17669636.87,11316442.25,13332245.46,45027457.93,26203105.54,32658025.8,31072781.45,34507191.65,55199479.17,121150.7095
13.049,630.61823,+,94692738.52,Cer[NS] d18:1_24:1,Cer[NS],33,9073722.134,32203687.16,13200457.21,33075923.92,17252054.98,27817326.58,64391868.45,57399014.91,41995554.35,65017890.75,54454579.44,94692738.52,67437.47097
11.853,590.55231,-,17675076.96,Cer[NS] d18:2_20:0,Cer[NS],9,4697048.693,2801614.681,5601537.387,2895763.89,5323330.089,2408675.119,17675076.96,3559293.477,13984951.7,2877097.569,12945588.55,5362731.121,128830.5847
13.609,606.61804,+,11799111.92,Cer[NS] d40:0,Cer[NS],11,1098242.07,2463895.013,1778773.332,3093863.15,2378269.188,1646132.611,11799111.92,4138312.345,9754447.899,5823406.841,10295693.92,10436199.76,141609.7323
13.748,618.61829,+,17148392.2,Cer[NS] d41:1,Cer[NS],19,1385838.579,4557533.11,1770065.936,5445804.74,2223456.974,3560627.677,8627324.066,7242779.691,6484819.488,9104660.395,8248793.161,17148392.2,86763.48536
13.435,616.60223,+,17285955.68,Cer[NS] d41:2,Cer[NS],13,1961567.751,3026305.11,3021515.014,3816251.112,4048437.928,2956783.453,16422947.16,5262754.712,13232164.46,6398907.789,17285955.68,12073302.58,72638.06352
14.619,634.64984,+,20150438.2,Cer[NS] d42:0,Cer[NS],14,1682965.496,3598123.481,3024010.401,4766791.862,3750155.308,2744375.014,17299766.4,6530182.737,16318573.24,9431714.416,20150438.2,16897726.59,85475.30461
11.939,632.63403,+,42536355.61,Cer[NS] d42:1,Cer[NS],10,2708149.474,9895166.635,5012992.905,10913311.85,2970263.741,5926268.247,25367497.83,17742277.33,18695979.15,26339882.88,23535123.8,42536355.61,79486.85234
13.462,632.63367,+,18884513.62,Cer[NS] d42:1,Cer[NS],12,1809004.387,4243303.347,2588847.609,6571102.317,3053243.524,3669289.593,16498385.86,8177082.444,12908200.66,13072634.54,15237140.2,18884513.62,68312.88218
13.661,632.63403,+,15467785.48,Cer[NS] d42:1,Cer[NS],2,2028483.235,1398369.707,3108218.738,1823200.912,2823041.785,1001053.438,15467785.48,2431564.073,10439281.29,3707284.371,11834721.35,5467622.363,113385.3556
14.215,632.63373,+,134577125.8,Cer[NS] d42:1,Cer[NS],39,11731673.9,33955932.71,18535011.2,42051902.88,20470473.25,27337575.1,86704350.58,60207246.75,66398240.88,79080506.72,72098047.28,134577125.8,109531.4148
15.446,708.65173,-,10457304.79,Cer[NS] d42:1,Cer[NS],4,2395813.544,6125358.837,3129610.208,4630486.9,3368126.285,3277612.358,10457304.79,5373941.403,9234876.443,5568246.269,7962068.19,9728786.193,574215.6292
10.886,630.61792,+,29291345.6,Cer[NS] d42:2,Cer[NS],2,1688466.712,7127004.338,2327669.473,8395618.248,1101900.979,3747660.767,15650434.99,11286353.13,9699924.23,23092656.11,15970067.03,29291345.6,190798.2851
12.517,630.61804,+,16921213.5,Cer[NS] d42:2,Cer[NS],2,1895499.351,1193916.635,3344337.528,1570634.026,2451600.74,1063731.23,16921213.5,2823807.65,8699555.389,3141124.536,10448130.91,4565165.616,79771.66506
14.549,648.62817,+,7264237.289,Cer[NS] d42:2,Cer[NS],13,1304992.192,1939630.845,1922159.863,2594503.384,1778349.585,2181063.849,6021266.314,3948822.109,4930977.186,4332697.84,7264237.289,7148356.875,998838.7021
14.703,646.64917,+,3817277.561,Cer[NS] d43:1,Cer[NS],3,182290.2462,1014249.735,348532.7518,1212777.127,361706.1024,715702.534,1218797.208,1578749.232,961960.1882,2002045.603,1119681.738,3817277.561,90859.46545
14.318,660.63165,-,19231301.97,Cer[NS] d43:2,Cer[NS],15,4956028.887,8877554.702,3886520.008,7212315.513,4311720.937,4669734.687,19231301.97,7607864.219,10988983.55,7729663.863,10811277.32,10960733.77,143717.4627
13.786,656.63391,+,13818886.33,Cer[NS] d44:3,Cer[NS],20,928586.2286,1327578.338,1529452.757,2059222.047,1703044.747,1217910.748,13818886.33,2513554.77,6086304.469,3253694.951,8375658.455,5529879.223,104680.8769
2.982,492.34662,-,9776807.728,CerP d25:0,CerP,12,3923484.776,8834040.174,2654296.743,8200588.453,5045137.753,6168378.548,9776807.728,5094093.636,4298414.002,4349158.02,3206844.796,8386016.682,41153.39334
5.049,492.3468,-,9273544.605,CerP d25:0,CerP,4,2460607.541,5090030.33,3374134.164,5752567.845,3438360.835,3269243.863,9273544.605,4314411.236,4888376.043,4077287.386,3130888.439,6674381.693,121046.5794
7.788,576.44031,-,5011070.421,CerP d31:0,CerP,6,1760395.307,3299508.142,1817334.498,3087505.588,2400984.936,2370726.021,5011070.421,2216817.797,2269689.437,2278809.808,3181856.132,3740348.213,45647.92362
17.509,1377.9823,-,30750894.23,CL 16:0_18:1_16:0_16:0,CL,10,6909897.338,6553939.413,6389870.245,6209484.331,8648877.971,3919327.017,30750894.23,9788003.475,21766470.84,8597323.343,20372012.1,11747494.23,239789.8091
14.82,1317.88806,-,16603359.61,CL 16:1_16:1_14:0_16:1,CL,12,3360201.269,5326757.167,2656303.052,5015143.582,3335625.479,5367355.627,16603359.61,8129701.917,10303742.2,8301950.864,8385587.032,14730071.68,199277.5286
14.831,1343.90308,-,48677870.3,CL 16:1_16:1_16:1_16:1,CL,12,11890173.22,18151841.12,8204000.05,20319842.54,10945292.52,18458621.45,46366589.64,29894660.7,31098244.58,30279190.69,23553704.84,48677870.3,239786.1129
15.182,1357.91895,-,26654577.48,CL 16:1_17:1_16:1_16:1,CL,12,4529600.52,10082292.96,3166514.751,11136289.88,4719513.809,10635514.74,18378441.15,15936825.1,10300806.98,14863149.33,9470593.135,26654577.48,242747.3746
