"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010506","BP","GO:0010506","regulation of autophagy","16/170","357/18888",0.0448179271708683,4.97953534354918,7.23424604569865,1.52352725081291e-07,0.000413942354045869,0.000368212480828047,"MET/UCHL1/PIP4K2A/RAB8A/SLC7A5/CALCOCO2/SQSTM1/ITPR1/RPTOR/PIP4K2C/RMC1/PLEKHF1/FYCO1/TMEM59/WDR6/SH3GLB1",16
"GO:0016236","BP","GO:0016236","macroautophagy","13/170","343/18888",0.0379008746355685,4.21101011833305,5.71941413894658,1.4302329370007e-05,0.0134441483758071,0.0119589193463584,"UCHL1/PIP4K2A/GABARAPL2/UFM1/CALCOCO2/SQSTM1/PIP4K2C/CHMP6/PGAM5/FYCO1/VAMP8/MAP1LC3B/SH3GLB1",13
"GO:0048193","BP","GO:0048193","Golgi vesicle transport","12/170","294/18888",0.0408163265306122,4.53493397358944,5.82163251599501,1.48444774116383e-05,0.0134441483758071,0.0119589193463584,"SNX3/LMAN1/BCAP31/GABARAPL2/RAB8A/COPZ1/RAB31/YIF1B/RINT1/NAPG/LMAN2L/VAPA",12
"GO:0097352","BP","GO:0097352","autophagosome maturation","6/170","63/18888",0.0952380952380952,10.581512605042,7.25960660233345,2.16250619902387e-05,0.0146888233568697,0.0130660900867337,"GABARAPL2/CALCOCO2/CHMP6/FYCO1/VAMP8/MAP1LC3B",6
"GO:0006605","BP","GO:0006605","protein targeting","12/170","327/18888",0.036697247706422,4.07728008634647,5.34954009332217,4.21795047671172e-05,0.0186524595236324,0.0165918474580167,"PEX12/PDCD5/LMAN1/BCAP31/YWHAG/RPL11/SQSTM1/TIMM50/YIF1B/ZDHHC20/TAOK2/SH3GLB1",12
"GO:1903050","BP","GO:1903050","regulation of proteolysis involved in protein catabolic process","10/170","228/18888",0.043859649122807,4.87306501547988,5.60715576122408,4.25262737568332e-05,0.0186524595236324,0.0165918474580167,"PSMD10/BCAP31/PLK1/USP14/EPHA4/GABARAPL2/PSMC5/RPL11/UBXN1/FMR1",10
"GO:0007264","BP","GO:0007264","small GTPase-mediated signal transduction","15/170","500/18888",0.03,3.33317647058824,5.03896767139467,4.81429431783302e-05,0.0186524595236324,0.0165918474580167,"NRP1/TRIO/MET/CDKN2A/CRK/RAB4B/NOTCH2/ARHGAP1/SQSTM1/AMOT/DOCK11/ARFGAP1/RAB18/CTNNAL1/NISCH",15
"GO:0061136","BP","GO:0061136","regulation of proteasomal protein catabolic process","9/170","189/18888",0.0476190476190476,5.29075630252101,5.64978328904582,5.49207494254909e-05,0.0186524595236324,0.0165918474580167,"PSMD10/BCAP31/PLK1/USP14/GABARAPL2/PSMC5/RPL11/UBXN1/FMR1",9
"GO:0010508","BP","GO:0010508","positive regulation of autophagy","8/170","152/18888",0.0526315789473684,5.84767801857585,5.71864781101552,7.13024766670481e-05,0.0195150156065531,0.0173591135085702,"PIP4K2A/CALCOCO2/SQSTM1/PIP4K2C/PLEKHF1/FYCO1/TMEM59/SH3GLB1",8
"GO:0006868","BP","GO:0006868","glutamine transport","3/170","10/18888",0.3,33.3317647058823,9.74602784977154,8.20601336869521e-05,0.0195150156065531,0.0173591135085702,"SLC1A4/SLC1A5/SLC38A2",3
