"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006635","BP","GO:0006635","fatty acid beta-oxidation","8/162","75/18888",0.106666666666667,12.4365432098765,9.23023731266135,2.55125738931291e-07,0.000374429654826956,0.000357266197512169,"ACADL/ETFB/ECI1/ACADVL/CPT1A/DECR1/ECHDC2/IRS2",8
"GO:0009062","BP","GO:0009062","fatty acid catabolic process","9/162","106/18888",0.0849056603773585,9.89937106918239,8.54590022367142,3.24321918429585e-07,0.000374429654826956,0.000357266197512169,"ACADL/ETFB/ECI1/ACADVL/CPT1A/DECR1/ECHDC2/NUDT8/IRS2",9
"GO:0072329","BP","GO:0072329","monocarboxylic acid catabolic process","9/162","131/18888",0.0687022900763359,8.01017811704835,7.48858044229253,1.94556618502694e-06,0.00149743744040907,0.00142879650009171,"ACADL/ETFB/ECI1/ACADVL/CPT1A/DECR1/ECHDC2/NUDT8/IRS2",9
"GO:0019395","BP","GO:0019395","fatty acid oxidation","8/162","106/18888",0.0754716981132075,8.79944095038435,7.48965782460908,3.64283605715957e-06,0.00210282711399536,0.00200643575464078,"ACADL/ETFB/ECI1/ACADVL/CPT1A/DECR1/ECHDC2/IRS2",8
"GO:0044242","BP","GO:0044242","cellular lipid catabolic process","11/162","230/18888",0.0478260869565217,5.57616747181965,6.49456056682779,4.89914732711026e-06,0.00226116574601018,0.00215751631209652,"SMPD1/ACADL/CPS1/ETFB/ECI1/ACADVL/CPT1A/DECR1/ECHDC2/NUDT8/IRS2",11
"GO:0034440","BP","GO:0034440","lipid oxidation","8/162","113/18888",0.0707964601769911,8.25434283841363,7.19389033698644,5.87570137551368e-06,0.00226116574601018,0.00215751631209652,"ACADL/ETFB/ECI1/ACADVL/CPT1A/DECR1/ECHDC2/IRS2",8
"GO:0006631","BP","GO:0006631","fatty acid metabolic process","14/162","401/18888",0.0349127182044888,4.07056432991595,5.78060979056572,9.64043073515722e-06,0.00276962891291282,0.0026426720679841,"ACADL/ETFB/ECI1/ACADVL/ACOT2/CPT1A/DECR1/ECHDC2/NUDT8/HSD17B8/ACSF2/ALKBH7/OXSM/IRS2",14
"GO:0016054","BP","GO:0016054","organic acid catabolic process","11/162","250/18888",0.044,5.13007407407407,6.11427093829961,1.07954353469967e-05,0.00276962891291282,0.0026426720679841,"BCKDK/GLUL/ACADL/ETFB/ECI1/ACADVL/CPT1A/DECR1/ECHDC2/NUDT8/IRS2",11
"GO:0046395","BP","GO:0046395","carboxylic acid catabolic process","11/162","250/18888",0.044,5.13007407407407,6.11427093829961,1.07954353469967e-05,0.00276962891291282,0.0026426720679841,"BCKDK/GLUL/ACADL/ETFB/ECI1/ACADVL/CPT1A/DECR1/ECHDC2/NUDT8/IRS2",11
"GO:0016042","BP","GO:0016042","lipid catabolic process","12/162","340/18888",0.0352941176470588,4.11503267973856,5.39100841841319,3.834184307338e-05,0.00885313156564343,0.00844731342658782,"SMPD1/ACADL/CPS1/ETFB/ECI1/ACADVL/CPT1A/PLCB3/DECR1/ECHDC2/NUDT8/IRS2",12
