"Protein IDs","Gene names","LFQ intensity KO_MITOS_22","LFQ intensity KO_MITOS_23","LFQ intensity KO_MITOS_24","LFQ intensity KO_TOTALS_22","LFQ intensity KO_TOTALS_23","LFQ intensity KO_TOTALS_24","LFQ intensity WT_MITOS_22","LFQ intensity WT_MITOS_23","LFQ intensity WT_MITOS_24","LFQ intensity WT_TOTALS_22","LFQ intensity WT_TOTALS_23","LFQ intensity WT_TOTALS_24"
"A0A024RBG1;Q9NZJ9;Q9NZJ9-2;Q9NZJ9-3;Q96G61;Q8NFP7","NUDT4;NUDT11;NUDT10",0,0,0,0,0,0,0,3727500,0,0,0,0
"A0A2R8Y619",NA,0,0,0,0,0,0,0,0,0,0,0,0
"A0A3B3IRV3",NA,0,0,0,0,0,0,0,0,0,0,0,0
"A0A3B3IU46",NA,0,0,0,0,0,0,0,0,0,0,0,0
"A0AV96-2;A0AV96","RBM47",0,0,0,0,0,9612400,0,0,0,0,4200700,0
"A0AVT1;A0AVT1-2;A0AVT1-3;A0AVT1-4","UBA6",3463400,2508000,8255500,15449000,12562000,89386000,5036000,3523000,4089200,19402000,10230000,9406400
"A0FGR8-6;A0FGR8-2;A0FGR8;A0FGR8-4;A0FGR8-5","ESYT2",48394000,47937000,44841000,41069000,44974000,28702000,41744000,61904000,72851000,30054000,65989000,41670000
"A0JLT2-2;A0JLT2","MED19",0,0,0,0,0,20040000,0,0,0,0,0,0
"A0MZ66-5;A0MZ66-6;A0MZ66;A0MZ66-3;A0MZ66-8;A0MZ66-4;A0MZ66-2;A0MZ66-7","KIAA1598",11199000,6208300,0,9994100,4514800,34936000,0,8982700,5439900,23767000,6596400,9533000
"A0PJW6","TMEM223",0,0,0,0,0,0,0,0,0,0,0,0
"A1L0T0","ILVBL",134880000,112030000,103110000,84381000,129490000,79729000,148220000,151510000,189950000,59942000,166330000,95959000
"A1L390","PLEKHG3",0,0,0,0,0,0,0,0,0,0,0,0
"A1XBS5-2;A1XBS5-4;A1XBS5-3;A1XBS5;A1XBS5-5","FAM92A1",9060100,11679000,6328700,0,4013400,0,6309500,16572000,14714000,0,0,2225800
"A2RRP1;A2RRP1-2","NBAS",16280000,24713000,18781000,17367000,19634000,16250000,14554000,10902000,15460000,6661200,18059000,11537000
"A2RTX5-2;A2RTX5","TARSL2",0,0,0,0,0,5272800,0,0,0,0,0,0
"A2RU67","KIAA1467",7232700,0,0,0,0,0,14901000,10716000,14526000,0,0,0
"A3KMH1;A3KMH1-3;A3KMH1-2","VWA8",121590000,73663000,104040000,19424000,23342000,11402000,98643000,74142000,78366000,11787000,19185000,16084000
"A3KN83-3;A3KN83-2;A3KN83;A3KN83-4","SBNO1",0,0,0,0,0,14817000,0,0,0,0,0,0
"A4D1E9;A4D1E9-2;A4D1E9-3","GTPBP10",170640000,124770000,154010000,62636000,62238000,17884000,150070000,126480000,128910000,54412000,64501000,69678000
"A4D1S0-2;A4D1S0","KLRG2",0,0,0,0,0,0,0,0,0,0,0,0
"A5D8V6","VPS37C",0,0,0,0,0,29896000,0,0,0,0,0,0
"A5PLL7-2;A5PLL7","TMEM189",0,0,0,0,0,0,0,0,0,0,0,0
"A5PLN9-2;A5PLN9-4;A5PLN9;A5PLN9-5","TRAPPC13",0,0,0,0,0,0,0,0,0,0,0,0
"A5YKK6-2;A5YKK6;A5YKK6-3;A5YKK6-4","CNOT1",9674300,15061000,15977000,14565000,13111000,35330000,5848500,17791000,17397000,20392000,13395000,10400000
"Q9GZQ8;A6NCE7","MAP1LC3B;MAP1LC3B2",12329000,13732000,14138000,19863000,9968700,23297000,40063000,26071000,24582000,20839000,18760000,16006000
"A6NDG6","PGP",0,0,0,13810000,8143400,53508000,0,0,0,27385000,8580500,12791000
"A6NDU8","C5orf51",0,0,0,8304800,0,0,0,0,0,13806000,0,8062900
"A6NED2","RCCD1",0,0,0,0,0,53180000,0,0,0,0,0,0
"A6NFI3","ZNF316",0,0,0,0,0,125880000,0,0,0,0,19840000,15813000
"A6NFY7","SDHAF1",19798000,8201200,19300000,5675100,4671200,0,45879000,19431000,13506000,0,9952300,0
"P36268-2;A6NGU5;P36268;P19440;P36268-3;P19440-2;Q14390;P19440-3;B5MD39","GGT2;GGT3P;GGT1",0,0,0,0,0,0,0,18253000,23194000,4683100,7486700,7222600
"A6NHL2-2;A6NHL2","TUBAL3",0,0,0,0,0,0,0,0,0,0,0,0
"A6NHQ2","FBLL1",0,0,0,0,0,0,0,0,0,0,0,0
"A6NHR9;A6NHR9-2;A6NHR9-3","SMCHD1",960390,33585000,9588100,33841000,31584000,78007000,4137300,28203000,9841700,52297000,49605000,38565000
"A6NIH7","UNC119B",0,5507400,0,4855400,5429100,8573700,0,0,0,7301900,5935400,0
"Q8TF27;A6NIR3;Q9UPQ3-2;Q9UPQ3","AGAP11;AGAP5;AGAP1",0,0,0,0,0,0,0,0,0,0,0,0
"A6NJ78;A6NJ78-2;A6NJ78-4;P0C7V9;A6NJ78-3","METTL15",131040000,83447000,129030000,28520000,38122000,28186000,76476000,48180000,58427000,2816100,13274000,4486300
"A6NK58","LIPT2",71265000,27844000,36665000,0,0,0,21986000,18022000,17279000,0,0,0
"A6NKF1;A6NKF1-2","SAC3D1",0,0,0,0,0,0,0,0,0,0,0,0
"A6NKT7;Q99666-2;Q7Z3J3-2","RGPD3",0,0,0,0,0,0,0,0,0,0,0,0
"A6NNL5","C15orf61",0,11248000,0,0,0,0,0,0,0,0,0,0
"A6ZKI3","FAM127A",0,0,0,0,0,0,0,0,0,0,0,0
"A7E2V4-5;A7E2V4;A7E2V4-3;A7E2V4-4;A7E2V4-2","ZSWIM8",0,0,0,0,0,20821000,0,0,0,0,4991300,0
"A8CG34;A8CG34-2;A6NF01;Q6PJE2-5;Q6PJE2","POM121C",0,3970000,0,20260000,17064000,0,0,0,0,8368300,58424000,25512000
"A8K8P3-5;A8K8P3-10;A8K8P3-3;A8K8P3-9;A8K8P3-2;A8K8P3;A8K8P3-4","SFI1",0,0,0,0,0,0,0,0,0,0,0,0
"A8MT69;A8MT69-3;A8MT69-2","STRA13",0,0,0,0,0,27836000,0,0,0,30691000,0,46551000
"A8MTT3","CEBPZOS",0,0,0,0,0,0,0,0,0,0,0,0
"A8MVW0","FAM171A2",1457500000,0,0,0,0,470400000,0,231620000,314190000,0,0,0
"A8MXV4","NUDT19",99215000,92166000,115320000,51844000,64081000,38213000,251120000,189160000,185870000,90845000,116970000,93270000
"B7ZAQ6-2;B7ZAQ6-3;P0CG08;B7ZAQ6","GPR89A;GPR89B",0,0,0,13905000,0,0,0,0,0,0,24545000,11812000
