"Protein IDs","Gene names","Protein names","MitoCarta3.0_SubMitoLocalization","MitoCarta3.0_MitoPathways","FC_TOTALS_OCIAD1","p_OCIAD1_TOTALS","sig_TOTALS_OCIAD1","LFQ_KO_TOTALS_22","LFQ_KO_TOTALS_23","LFQ_KO_TOTALS_24","LFQ_WT_TOTALS_22","LFQ_WT_TOTALS_23","LFQ_WT_TOTALS_24","missingness"
"A0AVT1;A0AVT1-2;A0AVT1-3;A0AVT1-4","UBA6","Ubiquitin-like modifier-activating enzyme 6",NA,NA,1.25823822534703,0.0173923001238002,TRUE,25.2416286834711,25.2618764869948,25.3721136268314,23.9293357323358,24.3943078199737,23.7772605689467,"complete"
"A0FGR8-6;A0FGR8-2;A0FGR8;A0FGR8-4;A0FGR8-5","ESYT2","Extended synaptotagmin-2",NA,NA,-0.281631829139002,0.408956740531101,FALSE,24.9521655561952,24.9359770499938,25.2679076070834,24.91528268475,25.8298758214647,25.2557871944747,"complete"
"A0MZ66-8;A0MZ66-4;A0MZ66-5;A0MZ66-6;A0MZ66;A0MZ66-3;A0MZ66-2;A0MZ66-7","KIAA1598","Shootin-1",NA,NA,0.690044772479535,0.272280282177924,FALSE,23.936490173927,NA,24.687639147908,23.8083471834575,23.9301668622108,23.1275456196456,NA
"A1L0T0","ILVBL","Acetolactate synthase-like protein",NA,NA,-0.0527328977290651,0.897233456329385,FALSE,26.7601001892248,27.2442836458513,27.4485949143962,26.6862709592835,27.787328531271,27.137577952105,"complete"
"A2RRP1-2;A2RRP1","NBAS","Neuroblastoma-amplified sequence",NA,NA,0.581595699936301,0.23704975430444,FALSE,24.4356814122192,24.1408480731619,24.7008422043978,23.2667580184769,24.4842291645583,23.7815974069348,"complete"
"A3KMH1;A3KMH1-3;A3KMH1-2","VWA8","von Willebrand factor A domain-containing protein 8","Matrix","0",0.283957246927098,0.156886991385896,FALSE,24.9170369699013,25.3642094915036,25.2429047842519,24.8175758611906,24.9805793521238,24.8741242915611,"complete"
"A4D1E9;A4D1E9-2;A4D1E9-3","GTPBP10","GTP-binding protein 10","Matrix","Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly",-0.497774882188935,0.0528226966572878,FALSE,26.4178492134212,26.2629710394232,26.1318174792346,27.035300612869,26.5440258947898,26.726635870987,"complete"
"A5YKK6-2;A5YKK6;A5YKK6-3;A5YKK6-4","CNOT1","CCR4-NOT transcription complex subunit 1",NA,NA,0.460970473225167,0.127689161960689,FALSE,24.4164737049365,24.6493409367088,24.4390569972912,24.2777666081891,24.1878192453419,23.65637436573,"complete"
"A6NDG6","PGP","Phosphoglycolate phosphatase",NA,NA,0.359580689236733,0.110244462414228,FALSE,25.0026308206258,24.5343933560961,24.6365813464855,24.4694725022697,24.2178393728795,24.407551580348,"complete"
"A6NHR9;A6NHR9-2;A6NHR9-3","SMCHD1","Structural maintenance of chromosomes flexible hinge domain-containing protein 1",NA,NA,0.0676792105058688,0.809167717122344,FALSE,25.7730124724489,25.9065758618293,26.0542165579188,25.630206057708,26.3198178443075,25.5807433586639,"complete"
"A6NJ78;A6NJ78-2;P0C7V9;A6NJ78-4;A6NJ78-3","METTL15","Probable methyltransferase-like protein 15","Matrix","Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications",2.3860051369292,0.0855293571864683,FALSE,25.0310095472383,25.5165879624014,25.7951857226133,22.6680715170773,24.5893568769948,21.9273394273933,"complete"
"A8CG34;A8CG34-2;A6NF01;Q6PJE2-5;Q6PJE2","POM121C","Nuclear envelope pore membrane protein POM 121C",NA,NA,-0.565171698354799,0.461421374609622,FALSE,24.2254950374022,23.8209579967558,24.7685500503834,23.7852597148602,25.8793586570638,24.8458998076818,"complete"
"A8MXV4","NUDT19","Nucleoside diphosphate-linked moiety X motif 19, mitochondrial","Matrix","Metabolism > Metals and cofactors > Coenzyme A metabolism",-0.982934533684233,0.00129522743331838,FALSE,26.1879988275421,26.4237094015763,26.3245950891726,27.33773571846,27.4247267536307,27.122644447253,"complete"
"E9PRG8","C11orf98","Uncharacterized protein C11orf98",NA,NA,-0.257560090713049,0.403674137895988,FALSE,24.4901450974907,24.6996692943188,NA,25.3279118503819,24.5919845471267,24.6375054623448,NA
"L0R6Q1","SLC35A4",NA,NA,NA,-0.324486897163599,0.34551520046787,FALSE,27.3595433444188,27.6851556290474,27.211552176156,28.2146966541258,27.3324264071677,27.6825887798195,"complete"
"L0R8F8","SMCR7L",NA,NA,NA,-0.0191899163551668,0.968091895585535,FALSE,24.9707359135098,25.6348756844678,24.8693656806202,25.8596329741897,24.5631121250667,25.1098019284069,"complete"
"O00115-2;O00115","DNASE2","Deoxyribonuclease-2-alpha",NA,NA,-0.0224889997138362,0.931442322650454,FALSE,25.5441229129722,25.1279609351766,25.1234894758741,25.4703316843827,24.8881895238676,25.5045191149141,"complete"
