"Protein IDs","Gene names","Protein names","MitoCarta3.0_SubMitoLocalization","MitoCarta3.0_MitoPathways","FC_MITOS_OCIAD1","p_OCIAD1_MITOS","sig_MITOS_OCIAD1","LFQ_KO_MITOS_22","LFQ_KO_MITOS_23","LFQ_KO_MITOS_24","LFQ_WT_MITOS_22","LFQ_WT_MITOS_23","LFQ_WT_MITOS_24","missingness"
"A0FGR8-6;A0FGR8-2;A0FGR8;A0FGR8-4;A0FGR8-5","ESYT2","Extended synaptotagmin-2",NA,NA,-0.191963273826566,0.212635959273746,FALSE,25.4084316910269,25.2609503132027,25.277403666073,25.3256355471228,25.4953547291006,25.7016852155589,"complete"
"A1L0T0","ILVBL","Acetolactate synthase-like protein",NA,NA,-0.519115657236899,0.0266859776810275,FALSE,27.5150878386342,27.4053162295908,27.2059279376114,27.7214779991801,27.8472308017314,28.1149701766356,"complete"
"A2RRP1-2;A2RRP1","NBAS","Neuroblastoma-amplified sequence",NA,NA,0.353166288353201,0.205303113504492,FALSE,24.3704629220183,24.69608802275,24.2444530164469,24.2689741537013,23.7122226856758,24.2703082567785,"complete"
"A2RU67","KIAA1467","Uncharacterized protein KIAA1467",NA,NA,-2.72867193253287,0.00582887363579317,TRUE,22.381864362679,21.7638812748469,21.1006333632656,23.7884003787097,24.7558664032985,24.8881280163819,"MNAR"
"A3KMH1;A3KMH1-3;A3KMH1-2","VWA8","von Willebrand factor A domain-containing protein 8","Matrix","0",0.236239014649701,0.0377820885304223,FALSE,26.773877877938,26.7876861167459,26.9485246811054,26.6356313321581,26.6065213469957,26.5592189526864,"complete"
"A4D1E9;A4D1E9-2;A4D1E9-3","GTPBP10","GTP-binding protein 10","Matrix","Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly",0.125488554132136,0.442185832867522,FALSE,27.4982265500309,27.5093637770014,27.8831195469539,27.5787618128686,27.5587340567239,27.3767483419973,"complete"
"A5YKK6-2;A5YKK6;A5YKK6-3;A5YKK6-4","CNOT1","CCR4-NOT transcription complex subunit 1",NA,NA,0.174827915132067,0.695224077850863,FALSE,24.3723269671653,23.6481172405439,24.2807495268848,23.2440395444561,24.2230152417842,24.3096552029575,"complete"
"A6NFY7","SDHAF1","Succinate dehydrogenase assembly factor 1, mitochondrial","Matrix","OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors",-0.635595670303502,0.186669551990553,FALSE,24.0236165170683,24.3026509591347,24.8138412118691,25.4705803041876,25.1689587003402,24.4073566944548,"complete"
"A6NHR9;A6NHR9-2;A6NHR9-3","SMCHD1","Structural maintenance of chromosomes flexible hinge domain-containing protein 1",NA,NA,-0.655725427961801,0.180902149435704,FALSE,23.0089382469384,23.2816658940713,23.3102046137526,24.2872153101528,24.0804785611721,23.2002911673228,"complete"
"A6NJ78;A6NJ78-2;P0C7V9;A6NJ78-4;A6NJ78-3","METTL15","Probable methyltransferase-like protein 15","Matrix","Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications",1.06724099379003,0.00464815284759587,TRUE,27.3538891798178,27.5707421266184,27.6472215805823,26.606651060703,26.1854992454314,26.577979599514,"complete"
"A6NK58","LIPT2","Putative lipoyltransferase 2, mitochondrial","Matrix","Metabolism > Lipid metabolism > Lipoate insertion",1.23160998494303,0.0033607906296837,TRUE,26.1590485661443,25.8696939200401,25.7386010227896,24.3970246031026,24.8465374071274,24.8289515439149,"complete"
"A8MVW0","FAM171A2","Protein FAM171A2",NA,NA,2.12659227105467,0.000261644415354182,TRUE,31.0391606936787,30.7939757842648,30.8822397642132,28.5674818684095,28.9519901315179,28.8161274290653,"MAR"
"A8MXV4","NUDT19","Nucleoside diphosphate-linked moiety X motif 19, mitochondrial","Matrix","Metabolism > Metals and cofactors > Coenzyme A metabolism",-1.0231703018477,0.00122893632223597,TRUE,27.2246491425462,27.3484500976367,27.5409080183382,28.5504916608706,28.3661472585444,28.2668792446492,"complete"
"L0R6Q1","SLC35A4",NA,NA,NA,0.103451219123667,0.00782961111119471,FALSE,28.6375015235809,28.6346729244376,28.6158810802075,28.5302524062235,28.5477188243296,28.4997306403019,"complete"
"L0R8F8","SMCR7L",NA,NA,NA,0.578291576534699,0.0542569446275887,FALSE,26.9772918077629,27.1330590957765,27.5412331675458,26.8286931201781,26.5514908264591,26.5365253948439,"complete"
"O00115-2;O00115","DNASE2","Deoxyribonuclease-2-alpha",NA,NA,-0.215137568425533,0.394522573907726,FALSE,27.4081716383027,27.056322614221,27.2660939394264,27.221878133703,27.8389449180429,27.3151778454808,"complete"
"O00116","AGPS","Alkyldihydroxyacetonephosphate synthase, peroxisomal",NA,NA,-0.420444317511866,0.0626603057527316,FALSE,28.8476711426192,28.6852263021454,28.8742995786951,29.0264550856036,29.1803117726397,29.461763117752,"complete"
"O00139-2;O00139-1;O00139-5;O00139;O00139-4","KIF2A","Kinesin-like protein KIF2A",NA,NA,0.667930290352668,0.0168894905214317,FALSE,24.6209378072676,24.7565986444982,24.517981309365,24.1356824173179,24.035058201509,23.7209862712459,"complete"
"O00148;O00148-2;O00148-3","DDX39A","ATP-dependent RNA helicase DDX39A",NA,NA,-0.11309370745855,0.738488567065721,FALSE,23.9968383562777,24.3824786474415,23.4739114599344,NA,24.2245768990127,23.9037628250068,NA
"O00151","PDLIM1","PDZ and LIM domain protein 1",NA,NA,0.499494233571799,0.0930037120758749,FALSE,26.6843513243902,26.5186978759204,26.073315593518,25.7711042606574,26.1280225420177,25.8787552904381,"complete"
